"Name","cuda","seed","test","gamma","track","env_id","no_move","vf_coef","atk_foul","ent_coef","exp_name","norm_adv","num_envs","anneal_lr","clip_coef","no_energy","num_steps","target_kl","batch_size","clip_vloss","gae_lambda","check_angle","check_speed","terminal_rw","wandb_notes","enemy_policy","hierarchical","speed_factor","threshold_kl","wandb_entity","adaptative_lr","capture_video","learning_rate","max_grad_norm","reward_scaler","update_epochs","minibatch_size","num_minibatches","total_timesteps","speed_factor_end","wandb_project_name","torch_deterministic","record_video_step_frequency","_wandb","Atk-Foul/ppo-cma/50","RATING2-zero","Rating/Score","Atk-Foul/ou/01","Rating/ppo-sa/50","Rating/ppo-cma/30","RATING-rsa","Rating/zero/00","Rating/ppo-cma/10","Atk-Foul/ppo-cma/10","Total/8-Total Atk Fouls","Atk-Foul/ppo-sa-x3/50","_wandb.runtime","Rating/ppo-sa/40","Atk-Foul/ppo-sa/50","Atk-Foul/ppo-cma/30","Rating/ppo-sa-x3/40","Atk-Foul/ppo-sa/40","Step","Atk-Foul/ou/00","Len/3-Lenght Wins","Rating/ppo-dma/20","Atk-Foul/ppo-dma/20","Atk-Foul/zero/00","Total/7-Total Draws","Relative Time (Process)","global_step","Total/6-Total Losses","Atk-Foul/ppo-sa-x3/20","Atk-Foul/ppo-sa-x3/40","Len/2-Lenght","Rating/ppo-cma/50","Rating/ppo-dma/40","Total/5-Total Wins","Rating/ppo-sa-x3/50","Rating/ppo-dma/10","Atk-Foul/ppo-dma/10","Len/4-Lenght Losses","RATING2-rsa","Atk-Foul/ou/02","Rating/zero/01","Total/9-Matches","Atk-Foul/zero/02","Rating/ppo-sa-x3/20","RATING-zero","Rating/ou/02","Atk-Foul/ppo-sa/20","Atk-Foul/ppo-dma/40","Atk-Foul/zero/01","Rating/ppo-sa/20","Wall Time","Rating/ou/00","Rating/ou/01","Rating/zero/02"
"exp126-sa-x3","true","10","false","0.99","true","sa-x3","false","4","true","0.005","exp126","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA ep","RSA","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693437791.265025,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.3659608469836197","0.7641542781631979","0.35818508894663204","0.5382","0.47911253248051167","0.413234706117553","0.005","0.5079968012794882","0.378070701018574","0.3567006191332135","37214","0.3512594962015194","673","0.476609356257497","0.42194683190085946","0.4104358256697321","-0.01019592163134746","0.4188324670131947","25","0.5316683316683317","118.12443771011884","0.2114","0.2926","0.4826069572171131","4422","291.512371301651","2499840000","9982","0.45732560463721766","0.2668932427029188","148.215559553157","0.38653615661206553","0.1303218069158505","42238","0.1767293082766893","0.18888666799920048","0.2956226264241455","110.78902023642556","0.5085191666666666","0.5248552605310441","0.4969018588846692","90054","0.4869026194761048","0.26604037577453526","0.5639246778989098","0.4583749251347574","0.4409118176364727","0.3056166300219868","0.4899060563661803","0.4839032193561288","1693438082.7773962","0.45294705294705295","0.4538","0.496500699860028"
"exp126-sa","true","20","false","0.99","true","sa","false","4","true","0.005","exp126","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA ep","RSA","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693437790.702386,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.1084","0.8568735460285809","0.35779398865238776","0.12078259133559592","0.4044764188649081","0.2455508898220356","-0.28642714570858285","0.8137117729362383","0.1978438810141745","0.1169894190457177","10057","0.10273835698580852","413","0.3607278544291142","0.11410871302957634","0.10477904419116175","-0.11912852288626824","0.11357728454309138","25","0.12662272818054723","121.1815831987076","-0.1398","0.0918","0.12372576454127523","1153","162.13162636756897","2499840000","23486","0.1210547343188174","0.08794723166100339","119.62377446898282","0.1088","-0.08434939036578053","55710","-0.004997001798920648","-0.11970423661071145","0.09192645883293366","86.30362769309376","0.35883150365934796","0.12462552426602756","0.8144371125774845","90063","0.11555377848860456","0.22413104274870155","0.7846460618145563","0.811264230077891","0.1274","0.09814111533080153","0.1197760447910418","0.466","1693437952.8340125","0.8094667465548232","0.8163306049111599","0.8344662135145942"
"exp126-sa","true","10","false","0.99","true","sa","false","4","true","0.005","exp126","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA ep","RSA","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693437791.560634,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.096","0.8587296037296037","0.3516529889282502","0.10909090909090909","0.3687262547490502","0.2444044764188649","-0.3466135458167331","0.7996400719856028","0.1908","0.1004","9176","0.10317936412717456","424","0.3397243858597963","0.10277944411117776","0.10191846522781776","-0.1052","0.0932694228080687","25","0.1134185303514377","128.6655461278493","-0.11593044173495902","0.07655406755946433","0.1155768846230754","1660","167.60688281059265","2499840000","23962","0.1196","0.0922","128.24985285788847","0.114","-0.05292590373477132","55628","-0.011197760447910418","-0.11455417832866852","0.09036385445821672","87.84796761539104","0.3348315073041168","0.11870503597122302","0.8084766093562575","90049","0.1097560975609756","0.1834","0.7862137862137862","0.8055555555555556","0.0971611355457817","0.08348312362692231","0.11075569772091164","0.4494202319072371","1693437959.1675167","0.8218849840255591","0.8063936063936064","0.796281487405038"
"exp126-sa-x3","true","20","false","0.99","true","sa-x3","false","4","true","0.005","exp126","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA ep","RSA","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439098.688413,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.472","0.7550978940440936","0.34463615570803635","0.5864","0.4092725819344524","0.3729524570515382","0.1038961038961039","0.4581752844879217","0.3307338532293541","0.499500099980004","45364","0.4844186975629245","538","0.404157505496702","0.5123900879296562","0.49660407510986815","0.09708349980023973","0.5030981411153308","25","0.5779816513761468","97.44786103057125","0.2108","0.38","0.5414254342184068","1633","237.7286205291748","2499840000","8278","0.5404919016196761","0.4155013983220136","116.03936002487065","0.3484","0.22795440911817635","39318","0.22992409109069115","0.2418","0.415","83.43295482000484","0.5416425241425241","0.5957659277012183","0.4512390087929656","90066","0.5407836865253899","0.31853629274145173","0.5419545903257651","0.4066307169962053","0.5281887245101959","0.42351529694061185","0.552757793764988","0.41663334666133545","1693439336.4170334","0.4080574391703231","0.4034","0.4674130347860856"
"exp126-sa-x3","true","30","false","0.99","true","sa-x3","false","4","true","0.005","exp126","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA ep","RSA","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693437790.769158,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.36012797440511896","0.689489779096604","0.20713508471941552","0.627874425114977","0.31047580967612953","0.2458558018773717","-0.179","0.33939636218269037","0.1962","0.3474","38810","0.28432346513014106","876","0.2855428914217157","0.4410235905637745","0.4256041541841422","-0.08876449420231908","0.4365126974605079","25","0.627498001598721","125.65409542195256","0.0208","0.2446","0.5916450129922046","14416","373.18843364715576","2499840000","10353","0.3822471011595362","0.21551379448220712","210.95936132886231","0.19896020795840832","0.0224","29008","0.03496920325849394","0.0021995600879824036","0.2453509298140372","100.73572877426832","0.4304691666666667","0.6232753449310138","0.3729254149170166","90062","0.5812","0.14714114354258298","0.4094955489614243","0.3249350129974005","0.4781131321207276","0.2726","0.5724855028994201","0.3164101539076554","1693438163.9575915","0.3227418065547562","0.3243351329734053","0.3528"
"exp126-sa","true","30","false","0.99","true","sa","false","4","true","0.005","exp126","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA ep","RSA","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693437791.045817,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.06895862482510494","0.8266442339647723","0.10720591664723324","0.13738019169329074","0.07094324540367705","-0.035978412952228665","-0.6117764471057884","0.7077169132347061","-0.17096065508288397","0.07589374875174755","8013","0.04959008198360328","565","-0.036192761447710456","0.08752997601918465","0.08774735158904658","-0.43262694922031186","0.08978204359128174","25","0.13394642143142743","147.37571870853606","-0.41411717656468705","0.04639072185562888","0.13074770091963214","10535","188.93702006340027","2499840000","31044","0.07098580283943211","0.035385845661735305","189.83773639382127","-0.2246652008794723","-0.3781730961423146","40698","-0.34033193361327735","-0.41511697660467906","0.05118976204759048","111.82457157582786","0.2239928476380572","0.12944466640031962","0.7101478226128646","90051","0.1258","-0.14617076584683064","0.7507477567298105","0.7223332001598082","0.1022","0.055566660003997605","0.12305233719536555","0.1396","1693437979.982837","0.7263094762095162","0.7272364217252396","0.7184"
