"Name","cuda","seed","test","gamma","track","env_id","no_move","vf_coef","atk_foul","ent_coef","exp_name","norm_adv","num_envs","anneal_lr","clip_coef","no_energy","num_steps","target_kl","batch_size","clip_vloss","gae_lambda","check_angle","check_speed","terminal_rw","wandb_notes","enemy_policy","hierarchical","speed_factor","threshold_kl","wandb_entity","adaptative_lr","capture_video","learning_rate","max_grad_norm","reward_scaler","update_epochs","minibatch_size","num_minibatches","total_timesteps","speed_factor_end","wandb_project_name","torch_deterministic","record_video_step_frequency","_wandb","Atk-Foul/ppo-sa-x3/20","Rating/zero/02","Atk-Foul/zero/02","Rating/ppo-dma/20","Rating/ou/01","Rating/ou/02","Total/7-Total Draws","Rating/zero/01","Atk-Foul/zero/00","Atk-Foul/ppo-dma/20","Rating/ppo-sa/40","Atk-Foul/ppo-cma/10","Atk-Foul/ppo-sa-x3/40","Atk-Foul/ppo-sa-x3/50","Total/6-Total Losses","Wall Time","RATING2-rsa","Rating/ppo-dma/40","Atk-Foul/ppo-sa/40","Total/5-Total Wins","Len/4-Lenght Losses","Atk-Foul/ou/01","Rating/zero/00","Atk-Foul/ppo-dma/40","RATING-zero","Atk-Foul/ou/00","Atk-Foul/ou/02","Rating/ppo-sa-x3/40","Len/2-Lenght","Rating/ppo-cma/10","Rating/ppo-dma/10","Atk-Foul/ppo-sa/20","Atk-Foul/ppo-cma/50","Atk-Foul/zero/01","Rating/ppo-cma/30","Rating/ou/00","Atk-Foul/ppo-sa/50","Rating/ppo-sa-x3/20","Rating/ppo-sa-x3/50","Len/3-Lenght Wins","Total/8-Total Atk Fouls","Rating/ppo-sa/20","Atk-Foul/ppo-cma/30","Step","RATING-rsa","global_step","Rating/Score","Total/9-Matches","Rating/ppo-cma/50","Atk-Foul/ppo-dma/10","_wandb.runtime","Relative Time (Process)","RATING2-zero","Rating/ppo-sa/50"
"exp128-cma","true","30","false","0.99","true","cma","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439357.210577,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.10337932413517296","0.9454981034138552","0.015372329806348572","0.0649480415667466","0.9426802476532854","0.9462644826208548","2917","0.945276612742161","0.013373253493013972","0.07134292565947242","0.622875424915017","0.0568","0.0612","0.0762","17560","1693439580.0201082","0.40375706214689266","0.11615353858456616","0.03959208158368326","65754","98.90956719817768","0.01737567405632115","0.9463073852295408","0.057177129148340666","0.934","0.017158818834796488","0.01518178186176588","-0.0824","132.28643271867404","0.4468","0.07976809276289484","0.03717026378896882","0.06458708258348331","0.01218294387857","0.4883070157905257","0.9477254588986432","0.038538338658146966","0.34153169366126773","0.117","118.129999695836","4072","0.7254196642685852","0.056366180291824906","25","-0.1984047856430708","2499840000","0.5350311400246456","90077","0.3785242951409718","0.06097560975609756","558","222.80953121185303","0.9316458333333334","0.6541533546325878"
"exp128-cma","true","10","false","0.99","true","cma","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693440668.638929,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.11875249900039984","0.9479145879066054","0.014567950508880463","-0.0028","0.9404238304678127","0.9473998804542738","2322","0.944","0.016969454981034138","0.0804","0.5807676929228308","0.06596042374575255","0.0814","0.09674195482710374","19520","1693440857.4285922","0.4026447105788423","0.0124","0.04378248700519792","63525","98.11050204918033","0.015793682526989206","0.9450988221201836","0.0836","0.93419740777667","0.0146","0.017134887427774456","-0.1296","124.12322911577918","0.3411952828303018","-0.05017992802878848","0.045772536478113135","0.08658268346330734","0.0154","0.4106714628297362","0.9468","0.04134212103055722","0.27588964414234307","0.08674795122926245","111.0739393939394","5061","0.6893863681790925","0.07953637090327738","25","-0.2025948103792415","2499840000","0.48857529866323224","90068","0.28114377124575085","0.0933626549380248","479","188.78966331481936","0.9324119308740446","0.6237267825044938"
"exp128-dma","true","20","false","0.99","true","dma","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439367.456123,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.14177164567086584","0.9330401758944632","0.03837697381571057","-0.009796081567373051","0.9212944466640032","0.9217096065508288","5136","0.9306554756195043","0.036585365853658534","0.07497001199520192","0.5548890221955609","0.104","0.08111888111888112","0.09358128374325136","17860","1693439594.4280074","0.36474192474192474","0.048980407836865254","0.07618476304739052","60809","120.73701007838746","0.045545345585297645","0.9398240703718512","0.0741703318672531","0.9110671936758892","0.048751248751248755","0.04373876572798083","-0.16523476523476524","149.67068308772085","0.2866","-0.013997200559888024","0.0906","0.08994603238057165","0.03717026378896882","0.4102","0.9148851148851148","0.07334132693844925","0.2903419316136773","0.03159368126374725","118.1916492624447","6740","0.6478","0.1048","25","-0.3006993006993007","2499840000","0.4769620309393983","90047","0.3349990005996402","0.09278144371125777","623","226.97188425064087","0.9222826086956522","0.6063149480415667"
"exp128-dma","true","10","false","0.99","true","dma","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439368.243392,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.3402","0.8881565807868983","0.08907529458757739","-0.109","0.8265469061876247","0.828902658404957","3846","0.887467519488307","0.09451645064805583","0.1756","0.4150679456434852","0.22730907636945225","0.202","0.2503499300139972","18469","1693439575.1703193","0.3761346986346986","-0.0228","0.18864908073541167","52283","115.34988358871622","0.14311377245508983","0.8865403788634098","0.2072","0.8714144411473789","0.1415452186065083","0.14391365180891466","-0.1862","137.37418538296714","0.18132746901239505","-0.14985014985014986","0.2121878121878122","0.251449130521687","0.08714771137317609","0.26194761047790444","0.8295068876023158","0.1876123876123876","0.145","-0.07798440311937613","105.492358892948","16895","0.5378621378621379","0.2403519296140772","25","-0.2777222777222777","2499840000","0.37540661463479624","90073","0.14771137317609434","0.1946053946053946","593","206.92692732810977","0.903719914276294","0.46313686313686314"
"exp128-cma","true","20","false","0.99","true","cma","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439357.326553,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.10177964407118575","0.9378372976214272","0.00979412352588447","-0.1852","0.9414702357171394","0.9360894747353704","2547","0.9452547452547452","0.013391964821107336","0.0722","0.34693061387722457","0.06633366633366633","0.06266162721304953","0.093562574970012","25745","1693439551.8112743","0.27826929474384565","-0.18092762894842063","0.03779244151169766","57627","109.35568071470188","0.01697962445065921","0.948430941435139","0.0661735305877649","0.9219367588932806","0.016380343587694766","0.01757539444777312","-0.3246469067037995","129.68616914981015","0.17482517482517482","-0.21075784843031395","0.0454","0.07118576284743051","0.01138861138861139","0.19188486907855287","0.9338793447862564","0.039192161567686463","0.04439112177564487","-0.15333866453418632","114.32134242629324","4453","0.5282","0.07535478712772337","25","-0.49500998003992014","2499840000","0.3539534160801119","90074","0.04259148170365927","0.07278544291141771","506","194.48472142219543","0.9220372200263504","0.4553089382123575"
"exp128-dma","true","30","false","0.99","true","dma","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439368.294867,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.15781062724730324","0.9077476038338658","0.0603035143769968","-0.26943833699780134","0.8800159712517469","0.8660803517889266","4235","0.9109958092197166","0.0650568748752744","0.07535478712772337","0.2722","0.08616553378648541","0.0741555066959824","0.108","24981","1693439588.1909542","0.33537","-0.16976604679064186","0.0888","53469","137.9321084023858","0.08764224396087043","0.9086010776292156","0.07578484303139373","0.918407960199005","0.08664404072669195","0.09474315410753548","-0.37457525484709175","146.70922190521654","0.09276289484206318","-0.2529976019184652","0.1082","0.096","0.058870484933147074","0.21886867879272437","0.8834098622479537","0.10067918497802636","0.09029165001997602","-0.186","113.5305504123885","8202","0.4814","0.12552468518888668","25","-0.406","2499840000","0.316255731080496","90079","0.053","0.08932853717026379","624","219.8960871696472","0.9247305140961856","0.3757491010787056"
