"Name","cuda","seed","test","gamma","track","env_id","no_move","vf_coef","atk_foul","ent_coef","exp_name","norm_adv","num_envs","anneal_lr","clip_coef","no_energy","num_steps","target_kl","batch_size","clip_vloss","gae_lambda","check_angle","check_speed","terminal_rw","wandb_notes","enemy_policy","hierarchical","speed_factor","threshold_kl","wandb_entity","adaptative_lr","capture_video","learning_rate","max_grad_norm","reward_scaler","update_epochs","minibatch_size","num_minibatches","total_timesteps","speed_factor_end","wandb_project_name","torch_deterministic","record_video_step_frequency","_wandb","Rating/ou/01","Rating/ppo-cma/50","Atk-Foul/ppo-sa/50","Total/7-Total Draws","RATING-rsa","Total/5-Total Wins","Atk-Foul/ppo-sa-x3/20","Rating/ppo-cma/30","Rating/ppo-sa-x3/40","Rating/Score","Rating/ou/02","Atk-Foul/ppo-sa-x3/50","Len/2-Lenght","Rating/ppo-sa/40","Wall Time","Total/9-Matches","Atk-Foul/ppo-dma/40","Rating/ppo-cma/10","Atk-Foul/ou/00","Rating/zero/00","Atk-Foul/zero/00","Atk-Foul/ppo-sa/40","_wandb.runtime","RATING-zero","Atk-Foul/ppo-sa/20","Total/6-Total Losses","Total/8-Total Atk Fouls","Rating/ou/00","Rating/ppo-dma/40","RATING2-rsa","global_step","Relative Time (Process)","Rating/ppo-dma/10","Atk-Foul/ppo-cma/10","Rating/ppo-sa-x3/50","Step","Len/3-Lenght Wins","Rating/ppo-sa/50","Rating/ppo-dma/20","Atk-Foul/ou/01","Rating/zero/02","Atk-Foul/ppo-dma/20","Rating/zero/01","Atk-Foul/zero/01","Atk-Foul/ppo-cma/30","Rating/ppo-sa/20","Atk-Foul/ppo-cma/50","Atk-Foul/ppo-dma/10","Len/4-Lenght Losses","Rating/ppo-sa-x3/20","Atk-Foul/zero/02","Atk-Foul/ppo-sa-x3/40","RATING2-zero","Atk-Foul/ou/02"
"exp128-sa-x3","true","20","false","0.99","true","sa-x3","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439358.464244,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.6275683223618592","0.4107178564287143","0.3816","1519","0.083","48368","0.5115953618552579","0.4227772227772228","0.08598280343931214","0.44511159698560504","0.633990834827655","0.4410235905637745","105.19798892354136","0.5203918432626949","1693439584.3863175","90101","0.3625274945010998","0.39572512984418695","0.37462537462537465","0.6567729083665339","0.3404382470119522","0.3944422231107557","506","0.725","0.3992820103709613","8263","34686","0.6247752247752247","0.22375524895020996","0.5340266666666666","2499840000","225.92207384109497","0.2432","0.4163004394726328","0.23150739704118353","25","82.78826910353953","0.528","0.23521183053557151","0.37382804707759826","0.6582","0.34772182254196643","0.6658010387534958","0.3417898521773871","0.4151848151848152","0.543677702433187","0.39272145570885825","0.354","81.80975432651579","0.30167932826869254","0.3436","0.3709258148370326","0.8417691666666667","0.3680015939430165"
"exp128-sa-x3","true","10","false","0.99","true","sa-x3","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693440682.67348,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.5800079808459697","0.3769476628046344","0.4238609112709832","1544","0.08955223880597014","46197","0.5276","0.4004796163069544","0.11731954662954862","0.4215915772657177","0.5687487527439633","0.45332800319808114","106.22283856795768","0.468837395125849","1693440886.2710347","90137","0.3638","0.3953627823306016","0.4207061639736685","0.6352565382311839","0.3737272908764224","0.4282860567319217","444","0.7201970443349753","0.4279144171165767","8196","37215","0.5784959106323558","0.2068","0.5339253731343283","2499840000","203.5975546836853","0.238713543747503","0.4181491105336798","0.2230661603038177","25","84.15624391194234","0.4860111910471623","0.22741806554756192","0.4323623304070231","0.6305605425892679","0.3733013589128697","0.6287652104528226","0.3746259724715739","0.45083932853717024","0.5152969406118776","0.426887734718338","0.3455852976428286","77.67642752562226","0.3102","0.3620586475164572","0.3925233644859813","0.8398292282430213","0.43643983236878864"
"exp128-sa-x3","true","30","false","0.99","true","sa-x3","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693443297.991001,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.5661206552137436","0.3866","0.4775224775224775","1000","0.04885343968095713","44660","0.5890821835632873","0.4062749800159872","0.08358328334333133","0.407671731578188","0.5578149920255183","0.5153876898481216","100.01020011765098","0.4655206875874475","1693443530.854658","90097","0.43496503496503497","0.388011988011988","0.5053956834532374","0.5915352365741665","0.459972050309443","0.4883070157905257","495","0.6722939424031777","0.4903174286284688","7930","42622","0.5459632294164668","0.23376623376623376","0.5187886340977069","2499840000","232.86365699768064","0.2498","0.4719280719280719","0.2222222222222222","25","82.25058217644424","0.47092907092907094","0.2436538077153708","0.4762285257690771","0.5878836189717018","0.3987607435538677","0.5973221422861711","0.4580335731414868","0.4804156674660271","0.4705530045917349","0.4596","0.4044","76.31286254728877","0.2689462107578484","0.4627341570346752","0.4441111777644471","0.8175885468387951","0.49800637958532695"
"exp128-sa","true","20","false","0.99","true","sa","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439358.460749,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.8766","0.041350379544546546","0.08210147822612865","1237","-0.4510978043912175","55918","0.10609390609390608","0.19704236610711431","-0.2178257394084732","0.3334813252677729","0.8744761524645779","0.08778244351129774","105.8922137743493","0.33213429256594723","1693439499.0973177","90095","0.08116753298680528","0.08466453674121406","0.08056777289084366","0.8792483006797281","0.07876849260295882","0.08772981614708233","360","0.8687068114511353","0.09788254095085897","25873","7464","0.8722510995601759","-0.14234306277489003","0.2881129407850965","2499840000","140.63656878471377","-0.2046362909672262","0.08486421725239617","-0.130373925214957","25","99.37206266318536","0.34099081102676787","-0.17246203037569943","0.0794","0.8819416699960048","0.07533972821742606","0.8872509960159363","0.07629482071713148","0.08792965627498002","0.4476628046344387","0.08389932081502198","0.07334132693844925","90.71197773740964","0.15264735264735266","0.07630842988413904","0.06594724220623502","0.9036072721289898","0.08581121532628218"
"exp128-sa","true","30","false","0.99","true","sa","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693440676.66099,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.8566","0.0372","0.0942303853064484","1070","-0.4515484515484515","54460","0.11790567545963228","0.15121853775469438","-0.2776334199480312","0.31218082508104267","0.8544582167133147","0.08578284343131373","103.00215373684443","0.27997601918465226","1693440806.6023653","90076","0.09354387367579452","0.08794723166100339","0.0953046953046953","0.8522590963614555","0.10315873650539784","0.0925259792166267","319","0.8398009950248756","0.10353787727363582","26340","8568","0.8581418581418582","-0.15550669598241054","0.28896769896769897","2499840000","129.94137525558472","-0.21976047904191617","0.09894063561862884","-0.1219756048790242","25","97.65493940506794","0.3343980834497904","-0.20247851289226465","0.097","0.8630382775119617","0.08574855086947832","0.8634546181527389","0.09456217512994802","0.10347582900519375","0.4363381970817509","0.1036","0.07684630738522955","89.67851176917236","0.1211031175059952","0.0998803827751196","0.06935838496901858","0.8887520729684908","0.09676129548180729"
"exp128-sa","true","10","false","0.99","true","sa","false","4","true","0.005","exp128","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul vs RSA-OU ep","RSA-OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693439367.27791,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.8671063149480416","0.042574455326803914","0.09418116376724656","1170","-0.3712574850299401","54266","0.11075569772091164","0.1498","-0.32320607635418747","0.29984681304531224","0.8555776892430279","0.08316673330667733","106.2334324978354","0.266679984019177","1693439523.7219326","90086","0.07773780975219824","0.05113863363963244","0.09502894789379118","0.8558576569372252","0.08676529388244703","0.08330003995205754","398","0.845309381237525","0.09176329468212716","27254","7773","0.8660411259732481","-0.16007194244604317","0.3229449434464404","2499840000","156.44402265548706","-0.2494","0.08469836196564123","-0.14494202319072372","25","100.0339439059448","0.28954209158168365","-0.22104632587859424","0.0947242206235012","0.871380067904933","0.0738817891373802","0.8667864989015378","0.07809067305771919","0.0944","0.4016393442622951","0.08315010993403958","0.0744","92.5750715491304","0.10855657736905236","0.08627920910724984","0.06356186288227064","0.8918296739853626","0.09721115537848606"
