"Name","cuda","seed","test","gamma","track","env_id","no_move","vf_coef","atk_foul","ent_coef","exp_name","norm_adv","num_envs","anneal_lr","clip_coef","no_energy","num_steps","target_kl","batch_size","clip_vloss","gae_lambda","check_angle","check_speed","terminal_rw","wandb_notes","enemy_policy","hierarchical","speed_factor","threshold_kl","wandb_entity","adaptative_lr","capture_video","learning_rate","max_grad_norm","reward_scaler","update_epochs","minibatch_size","num_minibatches","total_timesteps","speed_factor_end","wandb_project_name","torch_deterministic","record_video_step_frequency","_wandb","Rating/ppo-sa/40","Atk-Foul/ou/01","Rating/ppo-dma/10","Atk-Foul/ppo-sa/40","Atk-Foul/ppo-sa/50","_wandb.runtime","RATING2-rsa","Rating/zero/01","Rating/zero/02","Len/3-Lenght Wins","Relative Time (Process)","Rating/ppo-sa/20","Rating/ppo-cma/30","Rating/ppo-dma/20","Atk-Foul/ppo-cma/50","Atk-Foul/ppo-sa-x3/20","RATING-rsa","Rating/ppo-dma/40","Atk-Foul/ppo-dma/10","Atk-Foul/ppo-dma/20","Len/4-Lenght Losses","Total/9-Matches","Atk-Foul/ppo-cma/10","Atk-Foul/ou/00","Rating/ppo-sa/50","Atk-Foul/ppo-sa/20","Rating/Score","Atk-Foul/zero/02","Total/5-Total Wins","Rating/ppo-sa-x3/20","Total/8-Total Atk Fouls","RATING2-zero","Atk-Foul/zero/00","Rating/ppo-cma/50","Atk-Foul/ppo-sa-x3/40","Len/2-Lenght","Wall Time","Rating/ou/02","Rating/ppo-sa-x3/50","Total/6-Total Losses","global_step","Rating/ou/01","Atk-Foul/ppo-dma/40","Step","Rating/ppo-sa-x3/40","Total/7-Total Draws","RATING-zero","Rating/zero/00","Atk-Foul/zero/01","Rating/ou/00","Rating/ppo-cma/10","Atk-Foul/ppo-cma/30","Atk-Foul/ppo-sa-x3/50","Atk-Foul/ou/02"
"exp125-sa-x3","true","10","false","0.99","true","sa-x3","false","4","true","0.005","exp125","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul","OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693436756.394741,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.5558218494108248","0.22496516026279115","-0.06336198281031381","0.23247453565008988","0.2118","390","0.4022727272727273","0.7719752840342834","0.7748805732484076","78.67675280877941","160.7830843925476","0.6270983213429256","0.39217252396166136","0.04279144171165767","0.20867479512292625","0.29834033193361326","-0.23676323676323677","-0.01179056754596323","0.1335198880671597","0.14717056588682265","114.15326137418757","90116","0.19292283086765297","0.23123003194888175","0.5814","0.23601119104716228","0.40435660703981535","0.2105891719745223","53671","0.22475504899020196","18665","0.8922040883613584","0.21752145280383156","0.2742354587247651","0.1448","100.05045718851258","1693436917.1778257","0.7438","-0.0558","17232","2499840000","0.7652797133187338","0.14448441247002397","25","-0.2592","1504","0.8308605341246291","0.7728996208341649","0.21427147697827387","0.7603833865814696","0.3754498200719712","0.23123003194888175","0.2014","0.2466"
"exp125-sa-x3","true","20","false","0.99","true","sa-x3","false","4","true","0.005","exp125","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul","OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693436218.0657,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.4833033393321336","0.25478850758180366","-0.2810313811712972","0.21275744851029793","0.2036370903277378","481","0.2785741666666667","0.7582834331337326","0.7697223886558817","79.69945489067189","185.0720729827881","0.5583533173461231","0.231968031968032","-0.19100899100899105","0.13957208558288342","0.21311475409836064","-0.51","-0.24275724275724275","0.08634819108534879","0.1000999000999001","129.02677146014983","90102","0.17479025169796245","0.2413104274870156","0.5155875299760192","0.22981614708233417","0.2724911766664447","0.22089075294587576","48981","-0.07017193122750899","16154","0.8831594131223212","0.2198284460402952","0.08138372325534893","0.07598480303939212","106.13895363033006","1693436403.137773","0.7517956903431764","-0.36663336663336665","24429","2499840000","0.732242617717478","0.09750249750249752","25","-0.5156968606278745","1549","0.8140454995054401","0.7717933373229603","0.23313373253493017","0.7403116260487415","0.17359168997203356","0.18821178821178824","0.09230769230769233","0.24261771747805264"
"exp125-sa-x3","true","30","false","0.99","true","sa-x3","false","4","true","0.005","exp125","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul","OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693436212.640098,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","0.4747151708974615","0.23298063485725692","-0.36632673465306936","0.2010793523885669","0.21114662405113865","448","0.2909748584748585","0.779441117764471","0.7677895156468009","76.66616414026682","171.44318890571594","0.5874600638977636","0.2087582483503299","-0.29884139033160206","0.13828936850519585","0.1936837897261643","-0.4785214785214785","-0.3505298940211958","0.07198560287942411","0.08310027966440271","132.6699848349341","90106","0.1736873627470553","0.23275344931013797","0.5217738713543747","0.2362220447284345","0.25198100015537256","0.21467012158660553","48422","-0.06316210273835698","15396","0.8909513201320132","0.21315736852629472","0.027777777777777776","0.07434052757793765","105.93748474019488","1693436384.083287","0.7608522500995619","-0.393","25717","2499840000","0.7550409263326013","0.08498300339932013","25","-0.5589528377298162","1600","0.8306930693069307","0.7834433113377325","0.21357285429141715","0.7580483903219356","0.1363545617887802","0.1749650069986003","0.0974","0.2270011947431302"
"exp125-sa","true","10","false","0.99","true","sa","false","4","true","0.005","exp125","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul","OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693436221.604326,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","-0.025574425574425574","0.06867638251147934","-0.6690647482014388","0.04555444555444556","0.04490121732189184","282","0.1598771580345285","0.9149402390438248","0.9002399040383846","64.68536728953623","117.7198884487152","0.29694671722211136","-0.20942303853064484","-0.5914902117459049","0.03259348130373925","0.0336","-0.7360557768924303","-0.6350379544546544","0.01838529176658673","0.02357171394326808","84.69225314227026","90117","0.03159368126374725","0.054723387257839026","0.0919976052684095","0.06146477748952305","0.055139429852303114","0.05737704918032787","45863","-0.4594","3665","0.9302284681130836","0.051348651348651346","-0.41151769646070785","0.011586096683979225","74.4552526160436","1693436339.3242145","0.904210736379964","-0.7191684989006596","40894","2499840000","0.89239369135556","0.021574111066719935","25","-0.7674790251697963","54","0.9220907297830376","0.9036963036963036","0.05199203187250996","0.9113241461953264","-0.3405318936212757","0.04072669195448193","0.01958824705176894","0.0626621432847735"
"exp125-sa","true","30","false","0.99","true","sa","false","4","true","0.005","exp125","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul","OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693437533.181249,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","-0.16530245557995607","0.06614708233413269","-0.7614294270313435","0.033140347374725494","0.04254894127047543","220","0.13815239043824706","0.8927072927072927","0.895745955662073","62.24280292958836","95.26757884025574","0.12307692307692308","-0.4291708291708291","-0.7336663336663337","0.027183689786128323","0.023376623376623377","-0.7838645418326693","-0.7394689558794171","0.015172689159512876","0.015184815184815185","80.91543298400441","90108","0.02996404314822213","0.06775934439336398","-0.10087894526568118","0.05414585414585415","-0.043880676521507525","0.0683043738765728","41371","-0.6407592407592407","3599","0.910515794669299","0.06177528988404638","-0.5498700779532281","0.011390887290167866","71.9143250321836","1693437628.4488275","0.8783406461906661","-0.8234471739564609","45325","2499840000","0.8936850519584333","0.01597125174685566","25","-0.8249400479616307","0","0.8825271470878578","0.8968412634946021","0.06553446553446554","0.8904657205676594","-0.491410307630843","0.033766233766233764","0.012782105052925903","0.07479058635819705"
"exp125-sa","true","20","false","0.99","true","sa","false","4","true","0.005","exp125","true","3600","false","0.2","false","400","","1440000","false","0.95","false","false","false","atk-foul","OU","false","true","0.008","","false","true","0.001","1.5","1000","7","360000","4","2500000000","0.5","isaac-reducing-move-bias","true","12000","{""desc"":null,""value"":{""t"":{""1"":[1,50,55],""2"":[1,50,55],""3"":[2,13,16,23],""4"":""3.8.6"",""5"":""0.14.2"",""8"":[5]},""framework"":""torch"",""start_time"":1693436212.63966,""cli_version"":""0.14.2"",""is_jupyter_run"":false,""python_version"":""3.8.6"",""is_kaggle_kernel"":false}}","-0.23193612774451097","0.06429712460063898","-0.7678321678321678","0.028942115768463075","0.03776223776223776","234","0.14059359605911337","0.895870736086176","0.8977431595765928","60.979845981381295","97.52932095527648","0.10071942446043164","-0.4218","-0.7161650388678493","0.02055888223552894","0.019792083166733303","-0.780295566502463","-0.7679712460063898","0.014385614385614386","0.015746462029101058","81.71919191919191","90128","0.02578968412634946","0.06742469579094355","-0.13586413586413587","0.05435651478816946","-0.055487750754482514","0.06530856800479329","41034","-0.6851259496201519","3347","0.917785152409046","0.055777688924430226","-0.5616766467065868","0.0106","71.93154180720752","1693436310.1689808","0.893812375249501","-0.823024740622506","46035","2499840000","0.9023562300319488","0.015575079872204472","25","-0.8334","13","0.8977384464110127","0.9038384646141544","0.06223818073010173","0.8912826650708159","-0.541983206717313","0.0304","0.014764565043894652","0.06467065868263473"
